pinid,arrival_time
pin0,65.3
pin1,84.3
pin2,85.8
pin3,93.0
pin4,97.6
pin5,99.1
pin6,101.0
pin7,104.5
pin8,111.2
pin9,111.4
pin10,113.9
pin11,122.5
pin12,125.3
pin13,132.2
pin14,138.2
pin15,139.7
pin16,143.4
pin17,152.2
pin18,156.0
pin19,159.2
pin20,167.0
pin21,168.2
pin22,168.4
pin23,169.4
pin24,172.1
pin25,174.62
pin26,174.72
pin27,177.8
pin28,178.1
pin29,180.3
pin30,180.3
pin31,183.2
pin32,183.6
pin33,187.3
pin34,193.5
pin35,193.8
pin36,193.9
pin37,194.2
pin38,194.8
pin39,195.0
pin40,195.1
pin41,196.4
pin42,199.9
pin43,200.4
pin44,204.0
pin45,204.8
pin46,204.8
pin47,205.0
pin48,205.2
pin49,205.3
pin50,205.4
pin51,205.4
pin52,206.0
pin53,206.0
pin54,208.5
pin55,208.8
pin56,210.1
pin57,211.8
pin58,217.4
pin59,220.5
pin60,220.6
pin61,220.9
pin62,220.9
pin63,221.6
pin64,222.0
pin65,223.9
pin66,224.8
pin67,225.2
pin68,225.4
pin69,225.8
pin70,228.1
pin71,229.8
pin72,230.4
pin73,233.1
pin74,233.2
pin75,234.2
pin76,236.5
pin77,239.0
pin78,239.6
pin79,246.9
pin80,286.9
pin81,307.0
pin82,345.85
pin83,350.98
pin84,351.7
pin85,352.45
pin86,369.0
pin87,385.94
pin88,386.1
pin89,401.3
pin90,401.3
pin91,423.67
pin92,423.8
pin93,425.6
pin94,425.96
pin95,428.6
pin96,430.7
pin97,431.3
pin98,431.38
pin99,431.44
pin100,434.9
pin101,454.91
pin102,456.77
pin103,470.68
pin104,471.58
pin105,472.03
pin106,475.7
pin107,481.87
pin108,485.7
pin109,507.6
pin110,516.8
pin111,534.6
pin112,539.84
pin113,540.0
pin114,541.3
pin115,542.2
pin116,545.8
pin117,563.0
pin118,575.9
pin119,576.8
pin120,577.2
pin121,584.3
pin122,584.7
pin123,586.9
pin124,591.0
pin125,595.62
pin126,599.9
pin127,601.4
pin128,604.2
pin129,609.88
pin130,616.9
pin131,626.2
pin132,632.1
pin133,634.16
pin134,636.64
pin135,637.75
pin136,638.9
pin137,641.18
pin138,644.12
pin139,645.92
pin140,646.02
pin141,648.4
pin142,649.49
pin143,649.5
pin144,654.26
pin145,654.81
pin146,654.9
pin147,655.86
pin148,656.67
pin149,656.84
pin150,657.87
pin151,659.8
pin152,660.93
pin153,661.03
pin154,665.33
pin155,666.23
pin156,666.86
pin157,667.14
pin158,668.47
pin159,668.49
pin160,673.34
pin161,674.45
pin162,676.86
pin163,676.89
pin164,677.18
pin165,678.32
pin166,680.67
pin167,681.67
pin168,681.9
pin169,682.9
pin170,687.51
pin171,687.58
pin172,689.09
pin173,689.77
pin174,691.84
pin175,692.48
pin176,695.36
pin177,697.52
pin178,699.29
pin179,699.9
pin180,703.9
pin181,704.75
pin182,706.4
pin183,706.48
pin184,709.09
pin185,709.63
pin186,711.97
pin187,712.44
pin188,722.28
pin189,726.59
pin190,729.9
pin191,730.6
pin192,733.96
pin193,737.55
pin194,737.6
pin195,737.64
pin196,739.7
pin197,740.13
pin198,740.67
pin199,742.25
pin200,743.75
pin201,746.5
pin202,748.6
pin203,748.7
pin204,749.73
pin205,749.84
pin206,749.86
pin207,750.71
pin208,751.7
pin209,752.9
pin210,753.2
pin211,758.34
pin212,758.94
pin213,759.27
pin214,760.32
pin215,760.39
pin216,760.5
pin217,766.55
pin218,766.9
pin219,767.2
pin220,768.01
pin221,770.9
pin222,771.15
pin223,772.12
pin224,773.6
pin225,773.98
pin226,775.9
pin227,779.3
pin228,779.4
pin229,780.2
pin230,781.7
pin231,786.8
pin232,787.74
pin233,788.99
pin234,789.25
pin235,792.55
pin236,801.7
pin237,802.0
pin238,802.2
pin239,802.59
pin240,803.2
pin241,803.4
pin242,803.7
pin243,803.9
pin244,805.9
pin245,807.9
pin246,810.4
pin247,810.9
pin248,811.9
pin249,814.9
pin250,815.9
pin251,817.48
pin252,818.28
pin253,819.13
pin254,819.47
pin255,819.9
pin256,820.33
pin257,820.9
pin258,822.2
pin259,822.9
pin260,825.51
pin261,828.2
pin262,828.3
pin263,829.34
pin264,830.4
pin265,830.72
pin266,831.9
pin267,833.3
pin268,833.4
pin269,833.5
pin270,833.7
pin271,833.7
pin272,833.9
pin273,834.46
pin274,835.97
pin275,835.98
pin276,836.4
pin277,838.1
pin278,838.4
pin279,839.4
pin280,840.9
pin281,841.05
pin282,841.8
pin283,846.96
pin284,848.9
pin285,860.64
pin286,862.9
pin287,863.4
pin288,863.86
pin289,864.7
pin290,865.91
pin291,867.16
pin292,870.48
pin293,874.55
pin294,875.1
pin295,877.8
pin296,880.7
pin297,882.49
pin298,883.0
pin299,883.1
pin300,883.1
pin301,884.38
pin302,884.99
pin303,885.33
pin304,885.8
pin305,888.4
pin306,893.7
pin307,894.77
pin308,898.1
pin309,903.2
pin310,904.03
pin311,907.9
pin312,909.25
pin313,910.66
pin314,914.22
pin315,916.77
pin316,917.14
pin317,925.45
pin318,935.65
pin319,936.1
pin320,942.55
pin321,946.1
pin322,971.67
pin323,973.79
pin324,988.95
pin325,990.9
