pinid,latitude,longitude
pin0,-54.4986,158.956
pin1,-45.4647,167.1535
pin2,-45.8924,167.947
pin3,-45.3665,168.1184
pin4,-45.954,169.6312
pin5,-44.6733,167.9264
pin6,-45.2311,169.3083
pin7,-44.827,169.0176
pin8,-45.044,170.6446
pin9,-44.0732,168.7855
pin10,-44.3856,170.1844
pin11,-43.5321,169.8155
pin12,-43.7146,171.0539
pin13,-43.0743,170.7368
pin14,-43.7061,172.6538
pin15,-43.5747,172.6232
pin16,-42.7816,172.271
pin17,-41.7449,171.8046
pin18,-42.416,173.539
pin19,-41.7625,172.9052
pin20,-40.8255,172.5292
pin21,-41.7149,173.8758
pin22,-41.2171,173.3795
pin23,-42.4908,147.6806
pin24,-41.749,174.2139
pin25,-41.3103,174.705
pin26,-41.3103,174.705
pin27,-41.4082,174.8712
pin28,-41.2295,174.6999
pin29,-41.1072,175.0665
pin30,-41.4158,175.2495
pin31,-40.8609,174.9098
pin32,-41.1579,175.5016
pin33,-40.6605,175.5786
pin34,-39.3357,173.9332
pin35,-39.2749,173.8675
pin36,-40.6817,176.2463
pin37,-39.1939,173.9867
pin38,-39.2702,174.0957
pin39,-39.7546,174.9856
pin40,-39.3257,174.1039
pin41,-39.2865,174.3935
pin42,-39.1243,174.7585
pin43,-40.0585,175.9612
pin44,-39.4067,175.7529
pin45,-39.2549,175.553
pin46,-39.2677,175.6542
pin47,-40.0297,176.862
pin48,-39.0707,175.4377
pin49,-39.1756,175.6012
pin50,-39.1982,175.548
pin51,-39.1153,175.5897
pin52,-39.2753,175.5635
pin53,-39.327,175.5979
pin54,-39.0002,175.539
pin55,-38.8665,175.7722
pin56,-39.204,175.546
pin57,-39.1657,176.4926
pin58,-38.7079,175.7332
pin59,-38.3795,176.2585
pin60,-39.0217,177.6737
pin61,-37.7309,175.5019
pin62,-38.1766,176.1938
pin63,-38.2593,177.1109
pin64,-38.2312,176.508
pin65,-38.0032,176.3844
pin66,-37.1041,175.1612
pin67,-36.9494,174.9249
pin68,-36.9324,174.5734
pin69,-38.334,177.5278
pin70,-36.7865,174.9056
pin71,-36.8223,174.7036
pin72,-36.7452,175.7209
pin73,-38.0716,178.2572
pin74,-37.5714,145.491
pin75,-35.9388,174.345
pin76,-35.315,149.363
pin77,-35.2197,173.5961
pin78,-37.5623,178.3066
pin79,-33.8294,151.158
pin80,-66.665,140.009
pin81,-31.8769,141.5952
pin82,-77.5172,161.8528
pin83,-77.8503,166.756
pin84,-22.1011,166.303
pin85,-22.071,166.444
pin86,-66.2792,110.5364
pin87,-20.0883,146.254
pin88,-20.0883,146.254
pin89,-23.6664,133.904
pin90,-23.6669,133.901
pin91,-32.927,117.234
pin92,-19.9428,134.3511
pin93,-19.9426,134.339
pin94,-19.9333,134.35
pin95,-31.5915,117.7546
pin96,-66.5514,93.0167
pin97,-34.893,114.154
pin98,-34.8985,114.1338
pin99,-34.8832,114.1361
pin100,-31.9783,116.208
pin101,-89.9279,145.0
pin102,-9.4316,159.947
pin103,-21.2125,-159.773
