ideal_time,surface_distance
15.58,83.5
19.84,111.3
24.1,139.1
27.62,167.0
31.06,194.8
34.5,222.6
37.94,250.5
41.37,278.3
44.81,306.1
48.25,334.0
51.69,361.8
55.13,389.6
58.56,417.4
62.0,445.3
65.44,473.1
68.87,500.9
72.31,528.8
75.75,556.6
79.18,584.4
82.62,612.3
86.05,640.1
89.48,667.9
92.92,695.7
96.35,723.6
99.79,751.4
103.22,779.2
106.65,807.1
110.08,834.9
113.51,862.7
116.94,890.6
120.37,918.4
123.8,946.2
127.23,974.0
130.66,1001.9
134.09,1029.7
137.51,1057.5
140.94,1085.4
144.37,1113.2
147.79,1141.0
151.21,1168.9
154.64,1196.7
158.06,1224.5
161.48,1252.3
164.9,1280.2
168.32,1308.0
171.74,1335.8
175.16,1363.7
178.58,1391.5
181.99,1419.3
185.41,1447.2
188.82,1475.0
192.24,1502.8
195.65,1530.6
199.06,1558.5
202.47,1586.3
205.88,1614.1
209.29,1642.0
212.69,1669.8
216.01,1697.6
219.29,1725.5
222.55,1753.3
225.81,1781.1
229.04,1808.9
232.23,1836.8
235.39,1864.6
238.55,1892.4
241.68,1920.3
244.8,1948.1
247.9,1975.9
250.99,2003.8
254.07,2031.6
257.04,2059.4
259.79,2087.2
262.53,2115.1
265.27,2142.9
268.01,2170.7
270.74,2198.6
273.47,2226.4
276.19,2254.2
278.91,2282.0
281.62,2309.9
284.32,2337.7
287.02,2365.5
289.71,2393.4
292.4,2421.2
295.07,2449.0
297.74,2476.9
300.4,2504.7
303.06,2532.5
305.7,2560.3
308.34,2588.2
310.97,2616.0
313.35,2643.8
315.63,2671.7
317.92,2699.5
320.2,2727.3
322.48,2755.2
324.75,2783.0
327.03,2810.8
329.3,2838.6
331.56,2866.5
333.83,2894.3
336.09,2922.1
338.35,2950.0
340.6,2977.8
342.86,3005.6
345.1,3033.5
347.35,3061.3
349.59,3089.1
351.83,3116.9
354.06,3144.8
356.29,3172.6
358.51,3200.4
360.74,3228.3
362.95,3256.1
365.17,3283.9
367.38,3311.8
369.59,3339.6
371.8,3367.4
374.01,3395.2
376.22,3423.1
378.42,3450.9
380.62,3478.7
382.82,3506.6
385.02,3534.4
387.21,3562.2
389.4,3590.1
391.59,3617.9
393.78,3645.7
395.96,3673.5
398.14,3701.4
400.31,3729.2
402.48,3757.0
404.65,3784.9
406.82,3812.7
